province,code,party,pp-percentage,psoe-percentage,cs-percentage,podemos-percentage
A Coruña,13635,PSOE,-,-,-,-
Álava,13642,PSOE,-,-,-,-
Albacete,13617,PSOE,-,-,-,-
Alicante,13630,PSOE,-,-,-,-
Almería,13596,PP,38.04,28.84,14.36,12.79
Asturias,13645,PP,"30,15","23,27","13,56","21,33"
Ávila,13608,PSOE,-,-,-,-
Badajoz,13633,PSOE,-,-,-,-
Baleares,13639,PP,"29,07","18,31","14,78","23,05"
Barcelona,13622,PSOE,-,-,-,-
Burgos,13609,PSOE,-,-,-,-
Cáceres,13634,PSOE,-,-,-,-
Cádiz,13597,PSOE,27.75,28,14.68,20.18
Cantabria,13607,PP,"36,94","22,42","15,25","17,84"
Castellón,13631,PSOE,-,-,-,-
Ceuta,13626,PSOE,-,-,-,-
Ciudad Real,13618,PSOE,-,-,-,-
Córdoba,13598,PP,30.41,32.06,11.93,14.67
Cuenca,13619,PSOE,-,-,-,-
Girona,13623,PSOE,-,-,-,-
Granada,13599,PP,"31,14","31,00","13,89","16,34"
Guadalajara,13620,PSOE,-,-,-,-
Guipúzcoa,13643,PSOE,-,-,-,-
Huelva,13600,PSOE,"28,78","36,94","11,87","15,21"
Huesca,13604,PP,"32,60","24,71","16,21","17,90"
Jaén,13601,PSOE,"31,50","38,36","10,68","12,50"
La Rioja,13641,PSOE,-,-,-,-
Las Palmas,13640,PP,"28,18","22,40","12,27","26,44"
León,13610,PSOE,-,-,-,-
Lleida,13624,PSOE,-,-,-,-
Lugo,13636,PSOE,-,-,-,-
Madrid,13628,PSOE,-,-,-,-
Málaga,13602,PP,"28,97","26,92","17,07","17,09"
Melilla,13627,PSOE,-,-,-,-
Murcia,13646,PSOE,-,-,-,-
Navarra,13629,PSOE,-,-,-,-
Ourense,13637,PSOE,-,-,-,-
Palencia,13611,PSOE,-,-,-,-
Pontevedra,13638,PSOE,-,-,-,-
Salamanca,13612,PSOE,-,-,-,-
Santa Cruz de Tenerife,,PP,"28,93","21,54","10,51","19,86"
Segovia,13613,PSOE,-,-,-,-
Sevilla,13603,PSOE,"25,19","33,96","13,02","19,02"
Soria,13614,PSOE,,-,-,-
Tarragona,13625,PSOE,-,-,-,-
Teruel,13605,PP,"36,46","25,64","14,72","15,25"
Toledo,13621,PSOE,-,-,-,-
Valencia,13632,PSOE,-,-,-,-
Valladolid,13615,PSOE,-,-,-,-
Vizcaya,13644,PSOE,-,-,-,-
Zamora,13616,PSOE,-,-,-,-
Zaragoza,13606,PP,"30,31","22,30","17,81","19,20"